ID: 1, Type: 0, Etat: 1, NbPassagers: 287
ID: 2, Type: 1, Etat: 1, NbPassagers: 288
ID: 3, Type: 0, Etat: 1, NbPassagers: 272
ID: 4, Type: 1, Etat: 0, NbPassagers: 244
ID: 5, Type: 0, Etat: 1, NbPassagers: 135
ID: 6, Type: 0, Etat: 1, NbPassagers: 127
ID: 7, Type: 0, Etat: 0, NbPassagers: 177
ID: 8, Type: 0, Etat: 0, NbPassagers: 27
ID: 9, Type: 0, Etat: 0, NbPassagers: 251
ID: 10, Type: 2, Etat: 0, NbPassagers: 45
ID: 11, Type: 2, Etat: 1, NbPassagers: 256
ID: 12, Type: 1, Etat: 0, NbPassagers: 128
ID: 13, Type: 0, Etat: 0, NbPassagers: 178
ID: 14, Type: 1, Etat: 1, NbPassagers: 216
ID: 15, Type: 0, Etat: 1, NbPassagers: 39
ID: 16, Type: 2, Etat: 1, NbPassagers: 178
ID: 17, Type: 2, Etat: 0, NbPassagers: 65
ID: 18, Type: 2, Etat: 0, NbPassagers: 240
ID: 19, Type: 2, Etat: 1, NbPassagers: 295
ID: 20, Type: 0, Etat: 0, NbPassagers: 100
ID: 21, Type: 2, Etat: 1, NbPassagers: 184
ID: 22, Type: 0, Etat: 0, NbPassagers: 55
ID: 23, Type: 1, Etat: 1, NbPassagers: 80
ID: 24, Type: 0, Etat: 0, NbPassagers: 277
ID: 25, Type: 1, Etat: 0, NbPassagers: 228
ID: 26, Type: 2, Etat: 0, NbPassagers: 296
ID: 27, Type: 2, Etat: 1, NbPassagers: 49
ID: 28, Type: 0, Etat: 1, NbPassagers: 235
ID: 29, Type: 1, Etat: 0, NbPassagers: 127
ID: 30, Type: 1, Etat: 0, NbPassagers: 71
ID: 31, Type: 0, Etat: 0, NbPassagers: 40
ID: 32, Type: 2, Etat: 1, NbPassagers: 72
ID: 33, Type: 1, Etat: 0, NbPassagers: 50
ID: 34, Type: 2, Etat: 1, NbPassagers: 297
ID: 35, Type: 1, Etat: 1, NbPassagers: 102
ID: 36, Type: 2, Etat: 1, NbPassagers: 151
ID: 37, Type: 2, Etat: 0, NbPassagers: 218
ID: 38, Type: 0, Etat: 0, NbPassagers: 230
ID: 39, Type: 0, Etat: 1, NbPassagers: 161
ID: 40, Type: 2, Etat: 0, NbPassagers: 212
ID: 41, Type: 0, Etat: 1, NbPassagers: 124
ID: 42, Type: 0, Etat: 1, NbPassagers: 154
ID: 43, Type: 0, Etat: 1, NbPassagers: 75
ID: 44, Type: 2, Etat: 1, NbPassagers: 15
ID: 45, Type: 1, Etat: 1, NbPassagers: 189
ID: 46, Type: 2, Etat: 0, NbPassagers: 32
ID: 47, Type: 0, Etat: 0, NbPassagers: 272
ID: 48, Type: 2, Etat: 0, NbPassagers: 72
ID: 49, Type: 1, Etat: 0, NbPassagers: 221
ID: 50, Type: 0, Etat: 0, NbPassagers: 59
